json_file,gimbal_yaw,gimbal_yaw_360,flight_yaw,flight_yaw_360,error
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135305_0206_T.JPG.json,-94.1,265.9,90.1,90.1,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135308_0209_T.JPG.json,-94.1,265.9,90.3,90.3,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135312_0212_T.JPG.json,-100.6,259.4,-97.2,262.8,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135316_0215_T.JPG.json,-93.7,266.3,-91.6,268.4,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135317_0216_T.JPG.json,-93.6,266.4,-91.6,268.4,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135318_0217_T.JPG.json,-93.6,266.4,-91.5,268.5,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135319_0218_T.JPG.json,86.4,86.4,-91.5,268.5,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135327_0224_T.JPG.json,-116.5,243.5,-121.0,239.0,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135328_0225_T.JPG.json,150.1,150.1,146.1,146.1,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135329_0226_T.JPG.json,-90.6,269.4,91.7,91.7,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135334_0230_T.JPG.json,86.7,86.7,90.0,90.0,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135335_0231_T.JPG.json,-93.4,266.6,90.1,90.1,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135337_0232_T.JPG.json,-93.5,266.5,90.0,90.0,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135338_0233_T.JPG.json,-93.3,266.7,90.1,90.1,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135339_0234_T.JPG.json,86.7,86.7,90.0,90.0,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135344_0238_T.JPG.json,-93.5,266.5,90.8,90.8,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135345_0239_T.JPG.json,-88.5,271.5,100.9,100.9,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135353_0245_T.JPG.json,-87.9,272.1,-91.4,268.6,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135354_0246_T.JPG.json,-87.9,272.1,-91.6,268.4,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135355_0247_T.JPG.json,-87.9,272.1,-91.7,268.3,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135401_0252_T.JPG.json,-178.5,181.5,175.8,175.8,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135403_0253_T.JPG.json,-80.7,279.3,94.6,94.6,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135405_0255_T.JPG.json,95.4,95.4,91.5,91.5,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135406_0256_T.JPG.json,95.4,95.4,91.5,91.5,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135408_0257_T.JPG.json,95.4,95.4,91.5,91.5,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135409_0258_T.JPG.json,95.4,95.4,91.5,91.5,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135415_0263_T.JPG.json,-84.6,275.4,91.6,91.6,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135424_0270_T.JPG.json,-86.5,273.5,-90.1,269.9,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135426_0272_T.JPG.json,-86.5,273.5,-90.0,270.0,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135427_0273_T.JPG.json,-86.4,273.6,-90.1,269.9,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135429_0274_T.JPG.json,-86.4,273.6,-90.0,270.0,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135430_0275_T.JPG.json,-86.4,273.6,-89.9,270.1,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135431_0276_T.JPG.json,-86.4,273.6,-89.8,270.2,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135432_0277_T.JPG.json,-86.3,273.7,-89.9,270.1,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135435_0279_T.JPG.json,93.6,93.6,-90.0,270.0,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135441_0284_T.JPG.json,147.3,147.3,155.9,155.9,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135442_0285_T.JPG.json,81.7,81.7,94.3,94.3,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135446_0288_T.JPG.json,77.3,77.3,91.4,91.4,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135448_0290_T.JPG.json,-102.7,257.3,91.5,91.5,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135450_0291_T.JPG.json,77.3,77.3,91.4,91.4,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135451_0292_T.JPG.json,-102.7,257.3,91.5,91.5,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135452_0293_T.JPG.json,-102.7,257.3,91.4,91.4,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135453_0294_T.JPG.json,-102.6,257.4,91.4,91.4,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135454_0295_T.JPG.json,-102.6,257.4,91.5,91.5,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135457_0297_T.JPG.json,-102.7,257.3,91.5,91.5,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135458_0298_T.JPG.json,-103.1,256.9,92.3,92.3,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135459_0299_T.JPG.json,-85.1,274.9,117.6,117.6,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135504_0303_T.JPG.json,-83.3,276.7,-90.0,270.0,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135507_0305_T.JPG.json,-83.2,276.8,-90.0,270.0,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135508_0306_T.JPG.json,-83.2,276.8,-90.0,270.0,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135509_0307_T.JPG.json,96.8,96.8,-90.0,270.0,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135511_0308_T.JPG.json,96.8,96.8,-90.2,269.8,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135512_0309_T.JPG.json,96.8,96.8,-90.1,269.9,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135514_0311_T.JPG.json,96.9,96.9,-90.0,270.0,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135515_0312_T.JPG.json,-83.2,276.8,-90.1,269.9,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135517_0313_T.JPG.json,97.2,97.2,-91.2,268.8,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135518_0314_T.JPG.json,-122.8,237.2,-136.2,223.8,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135519_0315_T.JPG.json,126.1,126.1,132.4,132.4,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135520_0316_T.JPG.json,80.9,80.9,92.5,92.5,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135522_0317_T.JPG.json,79.5,79.5,91.4,91.4,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135523_0318_T.JPG.json,79.4,79.4,91.4,91.4,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135524_0319_T.JPG.json,79.3,79.3,91.4,91.4,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135525_0320_T.JPG.json,79.2,79.2,91.4,91.4,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135527_0321_T.JPG.json,-100.7,259.3,91.4,91.4,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135528_0322_T.JPG.json,-100.7,259.3,91.5,91.5,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135529_0323_T.JPG.json,-100.7,259.3,91.5,91.5,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135530_0324_T.JPG.json,-100.7,259.3,91.4,91.4,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135531_0325_T.JPG.json,79.2,79.2,91.4,91.4,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135533_0326_T.JPG.json,-100.8,259.2,91.3,91.3,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135534_0327_T.JPG.json,79.2,79.2,91.4,91.4,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135539_0331_T.JPG.json,-149.1,210.9,-147.9,212.1,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135540_0332_T.JPG.json,-87.9,272.1,-91.8,268.2,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135541_0333_T.JPG.json,-85.6,274.4,-90.1,269.9,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135544_0335_T.JPG.json,-85.2,274.8,-90.1,269.9,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135545_0336_T.JPG.json,-85.2,274.8,-90.0,270.0,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135546_0337_T.JPG.json,-85.2,274.8,-89.9,270.1,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135548_0338_T.JPG.json,94.8,94.8,-90.0,270.0,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135549_0339_T.JPG.json,94.9,94.9,-90.0,270.0,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135554_0343_T.JPG.json,94.8,94.8,-90.0,270.0,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135555_0344_T.JPG.json,94.9,94.9,-90.3,269.7,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135556_0345_T.JPG.json,88.3,88.3,-102.6,257.4,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135557_0346_T.JPG.json,160.2,160.2,163.4,163.4,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135559_0347_T.JPG.json,85.1,85.1,93.2,93.2,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135600_0348_T.JPG.json,80.4,80.4,90.0,90.0,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135601_0349_T.JPG.json,80.2,80.2,90.0,90.0,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135606_0353_T.JPG.json,80.1,80.1,90.0,90.0,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135607_0354_T.JPG.json,-99.8,260.2,90.0,90.0,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135609_0355_T.JPG.json,-99.9,260.1,90.0,90.0,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135610_0356_T.JPG.json,-99.9,260.1,90.1,90.1,
F:\project\thermal1_images\thermal\faults\metadata\DJI_20250310135611_0357_T.JPG.json,80.1,80.1,90.0,90.0,
